##
音乐欣赏,#genre#
一生要吃多少苦-丁多,https://vd3.bdstatic.com/mda-qg9witrttsbfgsgd/cae_h264/1720661995244703240/mda-qg9witrttsbfgsgd.mp4
待你-安儿陈,https://vd2.bdstatic.com/mda-phhgtthsjuc9q0ta/576p/h264/1692359654960207244/mda-phhgtthsjuc9q0ta.mp4
醉倾城-小阿枫,https://vd3.bdstatic.com/mda-ncdc8jsm34a31k7k/360p/h264_delogo/1647247171935307626/mda-ncdc8jsm34a31k7k.mp4
虞兮叹-闻人听书,https://vd2.bdstatic.com/mda-pcp2q39ka4fyxmgk/hd/cae_h264/1679661929066078570/mda-pcp2q39ka4fyxmgk.mp4
一笑江湖-闻人听书,https://vd3.bdstatic.com/mda-pdrbhxpcn5ykbmvq/360p/h264/1682496744172478479/mda-pdrbhxpcn5ykbmvq.mp4
此去半生-吴昊,https://vd3.bdstatic.com/mda-pibpj73u0mkscqjb/360p/h264/1694536702024541281/mda-pibpj73u0mkscqjb.mp4
旧梦一场-阿悠悠,https://vd3.bdstatic.com/mda-phfnz2pcjmucx5qg/360p/h264/1692202391173660886/mda-phfnz2pcjmucx5qg.mp4
你永远不懂我-乔丽娜,https://vd2.bdstatic.com/mda-qcme62jy9u4vtzpa/hd/cae_h264/1711112168627616106/mda-qcme62jy9u4vtzpa.mp4
忘了吧串烧-乔丽娜,https://vd2.bdstatic.com/mda-pgvk3db15jygd1ix/576p/h264/1690726313218001328/mda-pgvk3db15jygd1ix.mp4
我心永恒-席琳迪翁,https://vd2.bdstatic.com/mda-qfimtrb3htc1d7yc/hd/cae_h264/1718862245011842813/mda-qfimtrb3htc1d7yc.mp4
我在景德镇等你-徐千雅,https://vd2.bdstatic.com/mda-ph135bmf8ravdqrd/576p/h264/1690942522339031828/mda-ph135bmf8ravdqrd.mp4
延边之恋-https://vd2.bdstatic.com/mda-ni4493iuq3xdbfyn/hd/cae_h264/1662348273536650305/mda-ni4493iuq3xdbfyn.mp4
康美之恋-谭晶,https://vd4.bdstatic.com/mda-pg9u3qb61p67q1yi/576p/h264/1689018789984252953/mda-pg9u3qb61p67q1yi.mp4
江南之恋-谭晶,https://vd2.bdstatic.com/mda-phk36khg0kbvvn87/576p/h264/1692584192340396804/mda-phk36khg0kbvvn87.mp4
康美心语-黛青塔娜,https://vd4.bdstatic.com/mda-nj54n1anezsa0j2j/hd/cae_h264/1665026535711680609/mda-nj54n1anezsa0j2j.mp4
阆中之恋=沙宝亮姚贝娜,https://vd4.bdstatic.com/mda-kf5w1s6d4vhw47z3/hd/mda-kf5w1s6d4vhw47z3.mp4
没有你的陪伴真的好孤单-梦然,https://vd2.bdstatic.com/mda-pj20fpke5tvu8sch/hd/cae_h264/1696292906608472474/mda-pj20fpke5tvu8sch.mp4
少年-梦然,https://vd3.bdstatic.com/mda-qbh4u0js492mmvpx/576p/h264/1708226762730701597/mda-qbh4u0js492mmvpx.mp4
孤勇者,https://vd2.bdstatic.com/mda-mmkfweauph7ju2rr/sc/cae_h264_delogo/1643229088196056141/mda-mmkfweauph7ju2rr.mp4
可可托海的牧羊人,https://vd3.bdstatic.com/mda-qck3c7ms746zvugu/sc/cae_h264/1711095090621560465/mda-qck3c7ms746zvugu.mp4?pd=19&vt=1
想你的时候问月亮,https://vdse.bdstatic.com//ec33a3aaab2aafb34d5816962f2a5ae5.mp4
如果爱还在,https://vd2.bdstatic.com/mda-nei3dmv33txuqkhk/576p/cae_h264/1652960953302683729/mda-nei3dmv33txuqkhk.mp4
布列瑟农-马修连恩,https://vd4.bdstatic.com/mda-njgrht5k1yyy82hk/576p/h264/1666029882787309463/mda-njgrht5k1yyy82hk.mp4
天亮了-汤晶锦,https://vd2.bdstatic.com/mda-qf0zgfwju94jnx1k/576p/h264/1717285168744446281/mda-qf0zgfwju94jnx1k.mp4
酒干倘卖无-汤晶锦,https://vd4.bdstatic.com/mda-ke8npvpvj1h9anq9/v1-cae/mda-ke8npvpvj1h9anq9.mp4
乌兰巴托的夜-汤晶锦,https://vd4.bdstatic.com/mda-ic9djz5kk0cfzfg4/hd/mda-ic9djz5kk0cfzfg4.mp4
你爱我坏-小鬼阿秋,https://vd4.bdstatic.com/mda-ne1kfafnqc07c169/hd/cae_h264_delogo/1651525603932977613/mda-ne1kfafnqc07c169.mp4
三两三-小鬼阿秋,https://vd3.bdstatic.com/mda-njk7nk6jgnikjxfi/576p/h264/1666329950767228780/mda-njk7nk6jgnikjxfi.mp4
串烧-小鬼阿秋,https://vd2.bdstatic.com/mda-mb213c1yam7dh03w/v1-cae/hd/mda-mb213c1yam7dh03w.mp4
串烧1-小鬼阿秋,https://vdse.bdstatic.com//9322a2d7073c7768c75d1fdbc50631b2.mp4

月上海棠-陈晓竹,https://vd2.bdstatic.com/mda-qg84b5nqc0qrqw34/576p/h264/1720494301719302066/mda-qg84b5nqc0qrqw34.mp4
擦肩而过-陈晓竹,https://vd2.bdstatic.com/mda-qh7azvc9yabvcsd1/hd/cae_h264/1723170944735169349/mda-qh7azvc9yabvcsd1.mp4
我是你的格桑花-陈晓竹,https://vd4.bdstatic.com/mda-pe3dvgj6pb3i9pdg/hd/cae_h264/1683286571462677768/mda-pe3dvgj6pb3i9pdg.mp4
画情-陈晓竹,https://vd3.bdstatic.com/mda-phudrv45aeggjxqd/576p/h264/1693302514553987420/mda-phudrv45aeggjxqd.mp4
白头吟-陈晓竹,https://vd2.bdstatic.com/mda-pgr16bum9tnxftqe/576p/h264/1690332652609676145/mda-pgr16bum9tnxftqe.mp4
遇上你是我的缘-陈晓竹,https://vd3.bdstatic.com/mda-pm3jmy32xbert8g9/sc/cae_h264/1701774336525014017/mda-pm3jmy32xbert8g9.mp4
万物生-陈晓竹,https://vd3.bdstatic.com/mda-pib7tku9qm7ysne0/576p/h264/1694496711864077605/mda-pib7tku9qm7ysne0.mp4
串烧-陈晓竹,https://vd3.bdstatic.com/mda-pc9favs3rneua8y3/sc/cae_h264/1678493737137488717/mda-pc9favs3rneua8y3.mp4
新套马杆-乌兰托娅,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg8cam4gUosMuzpQY.mp4
站在草原望北京-乌兰图雅,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgp6PA4gUo_LGSwQQ.mp4
辣辣的情歌-乌兰图雅,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsaTA4gUohOr5ngc.
泪如雪-海来阿木,https://vd3.bdstatic.com/mda-qfsbf1ydnee3qrie/360p/h264/1719475911218570087/mda-qfsbf1ydnee3qrie.mp4
孤独的王-海来阿木,http://mobi.kuwo.cn/tmevideo/tme1257703.mp4
西楼儿女-海来阿木,https://vd3.bdstatic.com/mda-pijbgiyyjxjz46kz/576p/h264/1695198018882005942/mda-pijbgiyyjxjz46kz.mp4
点歌的人-海来阿木,https://vd3.bdstatic.com/mda-qe3kqp6xq7ud32e1/sc/cae_h264/1714869517369935436/mda-qe3kqp6xq7ud32e1.mp4
别知己-海来阿木,https://vd3.bdstatic.com/mda-mi3fhu3dtn34byay/sc/cae_h264_nowatermark/1630753883143498438/mda-mi3fhu3dtn34byay.mp4
阿果吉曲-海来阿木,https://vd3.bdstatic.com/mda-peqfeq6p1903dtpb/sc/cae_h264/1685190776387844553/mda-peqfeq6p1903dtpb.mp4
不过人间-海来阿木,https://vd3.bdstatic.com/mda-qab1utc8vwscatdw/sc/cae_h264/1705022542488063437/mda-qab1utc8vwscatdw.mp4
烟雨人间-海来阿木,https://vd4.bdstatic.com/mda-pitd156vdsnzwn75/576p/h264/1695892417818859868/mda-pitd156vdsnzwn75.mp4
你的万水千山-海来阿木,https://vd3.bdstatic.com/mda-pehf1et7h8dddtbx/sc/cae_h264/1684597054320234216/mda-pehf1et7h8dddtbx.mp4
降央卓玛合集,https://vd4.bdstatic.com/mda-qdn4jn5zw9f0bj80/576p/h264/1713842151182269764/mda-qdn4jn5zw9f0bj80.mp4
合集1-任妙音,https://vd4.bdstatic.com/mda-km9dredd0ud4wcs5/hd/cae_h264_nowatermark/1607565687/mda-km9dredd0ud4wcs5.mp4
合集2-任妙音,https://vd3.bdstatic.com/mda-pf2xcbzhwx65tgu9/576p/h264/1685830315077145193/mda-pf2xcbzhwx65tgu9.mp4
合集1-亚男,https://vd3.bdstatic.com/mda-pfs7wm891pamcr05/hd/cae_h264/1687862021703204199/mda-pfs7wm891pamcr05.mp4
合集2-亚男,https://vd2.bdstatic.com/mda-nam3a2ntu4619bkj/hd/cae_h264_delogo/1642820613272051327/mda-nam3a2ntu4619bkj.mp4
合集1-海来阿木,https://vd3.bdstatic.com/mda-nc4dei2sxkdt7433/sc/cae_h264_delogo/1646476487835987599/mda-nc4dei2sxkdt7433.mp4
合集2-海来阿木,https://vd3.bdstatic.com/mda-pi25k2vfd58wp4vg/sc/cae_h264/1693720947937435061/mda-pi25k2vfd58wp4vg.mp4
合集3海来阿木,https://vd3.bdstatic.com/mda-pa3a0y8jrzat0e5z/sc/cae_h264/1672885780767907214/mda-pa3a0y8jrzat0e5z.mp4
合集4-海来阿木,https://vd3.bdstatic.com/mda-nen3qhj5myjurv9h/sc/cae_h264/1653283401206328036/mda-nen3qhj5myjurv9h.mp4
合集5海来阿木,https://vd3.bdstatic.com/mda-nkggabmbeu03dbwc/720p/h264/1668684987348502249/mda-nkggabmbeu03dbwc.mp4
合集6-海来阿木,https://vd3.bdstatic.com/mda-ph9cutv78vd5vibp/sc/cae_h264/1691675941268335626/mda-ph9cutv78vd5vibp.mp4
合集7-海来阿木,http://v26.toutiaovod.com/afda1a0c2a0f38777115075e4a1f6d60/6640b2c7/video/tos/cn/tos-cn-ve-4/oM6YYeCjanLj9gAfUAgQAiNOQbNsOUBDrWIeIj/?a=13&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&cv=1&br=495&bt=495&cs=0&ds=1&eid=21760&ft=r_QbXBHUUmfzXdDg0-D1YswHAX1tGjsTYf9eFLWsYsO12nzXT&mime_type=video_mp4&qs=0&rc=NGk4ZzQzaWZnODw3M2ZkOUBpMzkzbGY6ZnU3cTMzNDczM0BjXi4yYDQwXy4xMjNhMTZiYSNqYi8wcjQwY3FgLS1kLWFzcw%3D%3D&btag=80000e000b8030&dy_q=1715510642&feature_id=1229c61d4e863560fb994c11be849377&l=20240512184402333C03991EFB06648A92

印度歌舞,#genre#
情字路上,https://vd3.bdstatic.com/mda-pk9cviib37kcywfy/cae_h264/1699786954815310643/mda-pk9cviib37kcywfy.mp4
达哥来也,https://vd3.bdstatic.com/mda-pke3tisbwi8y0fgs/360p/h264/1700016105295140612/mda-pke3tisbwi8y0fgs.mp4
我心狂野,https://vd3.bdstatic.com/mda-pkaa5mxig878tqvu/360p/h264/1699686706969799648/mda-pkaa5mxig878tqvu.mp4
我们在一起,https://vd3.bdstatic.com/mda-pkaa3pdz6n75vpqp/360p/h264/1699686548429092174/mda-pkaa3pdz6n75vpqp.mp4
没有喜悦的婚礼,https://vd3.bdstatic.com/mda-imaqvprcx96kbpzg/mda-imaqvprcx96kbpzg.mp4
来吧我的爱人,https://vd3.bdstatic.com/mda-jfcgmc0fd6fr6r2b/mda-jfcgmc0fd6fr6r2b.mp4
印度神曲1,https://vd3.bdstatic.com/mda-pk6c6md25t4uvp6w/360p/h264/1699346231706170161/mda-pk6c6md25t4uvp6w.mp4
印度神曲2,https://vd3.bdstatic.com/mda-pkm4gjrctmqkw711/360p/h264/1700622639261551944/mda-pkm4gjrctmqkw711.mp4
印度神曲3,https://vd3.bdstatic.com/mda-nc72fvduw4rdtnku/cae_h264_delogo/1646705974216091323/mda-nc72fvduw4rdtnku.mp4
印度神曲4,https://vd3.bdstatic.com/mda-nmk3e126ewr80j0r/cae_h264/1671591270627491530/mda-nmk3e126ewr80j0r.mp4
印度神曲5,https://vd4.bdstatic.com/mda-miigfruq0t4mejn6/480p/h264/1632052882901282922/mda-miigfruq0t4mejn6.mp4
印度神曲6,https://vd3.bdstatic.com/mda-qdtd4ynk5hy3njv6/576p/h264/1714295939746538882/mda-qdtd4ynk5hy3njv6.mp4
印度神曲7,https://vd3.bdstatic.com/mda-iknjbd90uj60k0ab/hd/mda-iknjbd90uj60k0ab.mp4
印度神曲8,https://vd3.bdstatic.com/mda-kcjuk0nngeqzy89h/v1-cae/mda-kcjuk0nngeqzy89h.mp4
印度神曲10,https://vd3.bdstatic.com/mda-je5jt7ufqr8v91eu/mda-je5jt7ufqr8v91eu.mp4

八段锦视频,#genre#
八段锦讲解,https://vd4.bdstatic.com/mda-pa82q3266h2vkbu1/cae_h264/1673233427310800864/mda-pa82q3266h2vkbu1.mp4
八段锦古法讲解,https://vd3.bdstatic.com/mda-kda17bym9uruspsw/mda-kda17bym9uruspsw.mp4
八段锦正反,https://vd3.bdstatic.com/mda-qh4xn0eezrb6ztaw/cae_h264/1722896658626478767/mda-qh4xn0eezrb6ztaw.mp4
讲解八段锦,https://vd3.bdstatic.com/mda-qh3ak6674dszapz1/cae_h264/1722756897266278082/mda-qh3ak6674dszapz1.mp4
八段锦呼吸,https://vd3.bdstatic.com/mda-mmiafei14sbkezwe/cae_h264/1639930464371272202/mda-mmiafei14sbkezwe.mp4
八段锦坐式,https://vd3.bdstatic.com/mda-qd9cadd4nbticrev/360p/h264/1712739245685343905/mda-qd9cadd4nbticrev.mp4
古法八段锦,https://vd3.bdstatic.com/mda-pag9e9764pu8vvnd/cae_h264/1673940043532167803/mda-pag9e9764pu8vvnd.mp4
八段锦古法,https://vd3.bdstatic.com/mda-jmbstrsg0b18qagk/mda-jmbstrsg0b18qagk.mp4
八段锦少林,https://vd3.bdstatic.com/mda-jbbpjpfukyj2ufmn/mda-jbbpjpfukyj2ufmn.mp4

音乐频道,#genre#
ТНТ Music芬兰,https://musichls.persiana.live/hls/stream.m3u8
MTV Music,https://transcoder1.bitcare.eu/streaming/rimextv/rmtv.m3u8
Sunset Music日落,https://bozztv.com/1gbw5/tintv2/tintv2/chunklist.m3u8
PMC,https://hls.pmchd.live/hls/stream.m3u8
EU Music HD,https://cdnua03.hls.tv/69/hls/b24a169eeac8f76b6ff3d1d4854242a7/570/stream.m3u8
ExtraTV,https://streaming.social3.hr/ExtraTVudzdhr5/uUankWqpXD/1.m3u8
AMC Music,https://amchls.wns.live/hls/stream.m3u8
鬥魚直播-T-ARA音,http://tc-tct.douyucdn2.cn/dyliveflv3/17732rtara.flv?wsAuth=444b28368bc6cf374a8f22734242cdec&token=cpn-androidmpro-0-17732-2c028a7d8b69ac4c6a43608933105351f464f9543343a70c&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play3

黑龙江地区,#genre#

黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://117.161.12.116/live/program/live/hljwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://119.163.199.98:9901/tsfile/live/0143_1.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江新闻法治,http://112.101.78.50:9901/tsfile/live/1010_1.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市,http://112.101.78.50:9901/tsfile/live/1005_1.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江文体,http://112.101.78.50:9901/tsfile/live/1009_1.m3u8
黑龙江农业-科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江农业-科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江少儿,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8814&tk=e503191f8e20

哈尔滨新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8
哈尔滨影视,http://112.102.217.173:9003//hls/5/index.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨生活,http://112.102.217.173:9003//hls/3/index.m3u8



哈尔滨│巴彦综合,https://masterpull.hljtv.com/live/vAtZi96R.m3u8
哈尔滨│依兰综合,https://masterpull.hljtv.com/live/4sTJDdbE.m3u8
哈尔滨│五常综合,https://masterpull.hljtv.com/live/R9bOklLT.m3u8
哈尔滨│通河综合,https://masterpull.hljtv.com/live/b71kCDir.m3u8
哈尔滨│尚志综合,https://masterpull.hljtv.com/live/EQnKvoc9.m3u8
哈尔滨│延寿综合,https://masterpull.hljtv.com/live/XBqKssjB.m3u8
哈尔滨│方正综合,https://masterpull.hljtv.com/live/sSN2Uyb2.m3u8
哈尔滨│宾县综合,https://masterpull.hljtv.com/live/DlkgB2B7.m3u8
哈尔滨│呼兰综合,https://masterpull.hljtv.com/live/zja8TAIO.m3u8
哈尔滨│呼兰综合,https://rmplive.hljtv.com/live/hulan.m3u8

齐齐哈尔新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8
齐齐哈尔经济法制,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226555/index.m3u8
齐齐哈尔经济法制,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226493/index.m3u8
齐齐哈尔│龙江综合,https://masterpull.hljtv.com/live/vRSdDMSR.m3u8
齐齐哈尔│依安综合,https://masterpull.hljtv.com/live/4hhgo1mX.m3u8
齐齐哈尔│泰来综合,https://masterpull.hljtv.com/live/cfkAgOUK.m3u8
齐齐哈尔│富裕综合,http://221.209.44.174:1980/hls/1001.m3u8
齐齐哈尔│富裕综合,https://masterpull.hljtv.com/live/MKFLhcpa.m3u8
齐齐哈尔│克山综合,https://rmplive.hljtv.com/live/keshan.m3u8
齐齐哈尔│克东综合,https://masterpull.hljtv.com/live/PO1DiGiN.m3u8
齐齐哈尔│讷河综合,https://masterpull.hljtv.com/live/PXWxDY1V.m3u8
齐齐哈尔│拜泉综合,https://masterpull.hljtv.com/live/zHtOXXUz.m3u8
齐齐哈尔│甘南综合,https://masterpull.hljtv.com/live/YbFyF4Jb.m3u8
齐齐哈尔│甘南│东阳综合,http://tvbox6.icu/tv/quklive.php?id=25

牡丹江新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
牡丹江│绥芬河综合,https://masterpull.hljtv.com/live/pXxFNIbi.m3u8
牡丹江│宁安综合,https://masterpull.hljtv.com/live/BV2wr0vH.m3u8
牡丹江│海林综合,https://masterpull.hljtv.com/live/lqo9Fcdy.m3u8
牡丹江│穆棱综合,https://masterpull.hljtv.com/live/5c9Mi3FV.m3u8
牡丹江│林口综合,https://masterpull.hljtv.com/live/pqheD07F.m3u8
牡丹江│东宁综合,https://masterpull.hljtv.com/live/UQdxnsw8.m3u8
佳木斯新闻综合,https://masterpull.hljtv.com/live/l9wQtsVs.m3u8

佳木斯新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
佳木斯新闻综合,https://masterpull.hljtv.com/live/l9wQtsVs.m3u8
佳木斯│同江综合,https://masterpull.hljtv.com/live/oFc7fCUf.m3u8
佳木斯│富锦综合,https://masterpull.hljtv.com/live/wOBN3GqO.m3u8
佳木斯│桦川综合,https://masterpull.hljtv.com/live/NYQcW0fS.m3u8
佳木斯│桦南综合,https://masterpull.hljtv.com/live/76oCVZd3.m3u8
